release_period,avg_stat_efficiency_all_creatures,avg_stat_efficiency_white,avg_stat_efficiency_blue,avg_stat_efficiency_black,avg_stat_efficiency_red,avg_stat_efficiency_green,avg_stat_efficiency_colorless
1993-1995,1.38,1.34,1.34,1.32,1.47,1.44,1.29
1996-2000,1.44,1.41,1.35,1.33,1.5,1.6,1.63
2001-2005,1.36,1.42,1.3,1.42,1.43,1.44,1.06
2006-2010,1.51,1.54,1.42,1.53,1.54,1.61,1.52
2011-2015,1.56,1.59,1.49,1.52,1.57,1.62,1.63
2016-2020,1.67,1.64,1.6,1.66,1.72,1.77,1.77
2021-Present,1.74,1.71,1.7,1.76,1.77,1.82,1.66
